,Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
57,33,"Jan 25, 1987",1976,6-7,Alex English,SF,1986-1987,1987,10,Denver Nuggets,190,1.0
58,24,"Jan 18, 1987",1984,6-9,Otis Thorpe,PF,1986-1987,1987,2,Sacramento Kings,225,1.0
59,25,"Jan 11, 1987",1981,6-1,Isiah Thomas,PG,1986-1987,1987,5,Detroit Pistons,180,1.0
60,30,"Jan 4, 1987",1978,6-9,Larry Bird,SF,1986-1987,1987,7,Boston Celtics,220,1.0
61,24,"Dec 28, 1986",1985,7-0,Patrick Ewing,C,1986-1987,1987,1,New York Knicks,240,1.0
62,27,"Dec 21, 1986",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1.0
63,27,"Dec 14, 1986",1982,6-7,Dominique Wilkins,SF,1986-1987,1987,4,Atlanta Hawks,200,1.0
64,27,"Dec 7, 1986",1981,6-10,Tom Chambers,PF,1986-1987,1987,5,Seattle SuperSonics,220,1.0
65,24,"Nov 30, 1986",1985,6-11,Hot Rod Williams,FC,1986-1987,1987,0,Cleveland Cavaliers,215,1.0
66,24,"Nov 23, 1986",1984,6-3,Alvin Robertson,SG,1986-1987,1987,2,San Antonio Spurs,185,1.0
67,33,"Nov 16, 1986",1976,7-0,Robert Parish,C,1986-1987,1987,9,Boston Celtics,230,1.0
68,24,"Nov 9, 1986",1984,6-6,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1.0
69,24,"Apr 24, 1988",1985,6-9,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,265,1.0
70,27,"Apr 17, 1988",1982,6-3,Fat Lever,PG,1987-1988,1988,5,Denver Nuggets,170,1.0
71,24,"Apr 10, 1988",1986,6-7,Harold Pressley,GF,1987-1988,1988,1,Sacramento Kings,210,1.0
72,25,"Apr 3, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1.0
73,25,"Mar 27, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1.0
74,25,"Mar 20, 1988",1984,6-6,Charles Barkley,PF,1987-1988,1988,3,Philadelphia Sixers,252,1.0
75,25,"Mar 13, 1988",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1.0
76,27,"Mar 6, 1988",1983,6-6,Bobby Hansen,SG,1987-1988,1988,4,Utah Jazz,190,1.0
77,23,"Feb 28, 1988",1986,6-11,Roy Tarpley,PF,1987-1988,1988,1,Dallas Mavericks,230,1.0
78,25,"Feb 21, 1988",1984,6-1,John Stockton,PG,1987-1988,1988,3,Utah Jazz,170,1.0
79,28,"Feb 14, 1988",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1.0
80,31,"Jan 31, 1988",1977,6-7,Bernard King,SF,1987-1988,1988,10,Washington Bullets,205,1.0
81,25,"Jan 24, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1.0
82,28,"Jan 17, 1988",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1.0
83,26,"Jan 10, 1988",1983,6-3,Byron Scott,SG,1987-1988,1988,4,Los Angeles Lakers,195,1.0
84,24,"Jan 3, 1988",1985,6-9,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,265,1.0
85,28,"Dec 27, 1987",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1.0
86,29,"Dec 20, 1987",1981,6-10,Larry Nance,PF,1987-1988,1988,6,Phoenix Suns,205,1.0
87,28,"Dec 13, 1987",1979,6-9,Magic Johnson,PG,1987-1988,1988,8,Los Angeles Lakers,255,1.0
88,25,"Dec 6, 1987",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1.0
89,25,"Nov 29, 1987",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1.0
90,24,"Nov 22, 1987",1985,6-7,Xavier McDaniel,PF,1987-1988,1988,2,Seattle SuperSonics,205,1.0
91,31,"Nov 15, 1987",1978,6-9,Larry Bird,SF,1987-1988,1988,8,Boston Celtics,220,1.0
92,25,"Apr 23, 1989",1985,6-7,Xavier McDaniel,PF,1988-1989,1989,3,Seattle SuperSonics,205,1.0
93,25,"Apr 16, 1989",1985,6-9,Karl Malone,PF,1988-1989,1989,3,Utah Jazz,265,1.0
94,26,"Apr 9, 1989",1983,6-7,Clyde Drexler,SG,1988-1989,1989,5,Portland Trail Blazers,210,1.0
95,26,"Apr 2, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
96,26,"Mar 26, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
97,22,"Mar 19, 1989",1987,6-1,Kevin Johnson,PG,1988-1989,1989,1,Phoenix Suns,180,1.0
98,27,"Mar 12, 1989",1981,6-1,Isiah Thomas,PG,1988-1989,1989,7,Detroit Pistons,180,1.0
99,24,"Mar 5, 1989",1986,6-8,Chuck Person,SF,1988-1989,1989,2,Indiana Pacers,220,1.0
100,26,"Feb 26, 1989",1985,7-0,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,240,1.0
101,26,"Feb 19, 1989",1984,7-0,Hakeem Olajuwon,C,1988-1989,1989,4,Houston Rockets,255,1.0
102,25,"Feb 5, 1989",1986,6-6,Ron Harper,SG,1988-1989,1989,2,Cleveland Cavaliers,185,1.0
103,29,"Jan 29, 1989",1981,6-10,Tom Chambers,PF,1988-1989,1989,7,Phoenix Suns,220,1.0
104,25,"Jan 22, 1989",1985,6-7,Chris Mullin,SF,1988-1989,1989,3,Golden State Warriors,215,1.0
105,26,"Jan 15, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
106,28,"Jan 8, 1989",1983,6-7,Dale Ellis,GF,1988-1989,1989,5,Seattle SuperSonics,205,1.0
107,29,"Jan 1, 1989",1979,6-9,Magic Johnson,PG,1988-1989,1989,9,Los Angeles Lakers,255,1.0
108,26,"Dec 25, 1988",1983,6-7,Clyde Drexler,SG,1988-1989,1989,5,Portland Trail Blazers,210,1.0
109,35,"Dec 18, 1988",1976,7-0,Robert Parish,C,1988-1989,1989,11,Boston Celtics,230,1.0
110,26,"Dec 11, 1988",1985,5-10,Michael Adams,PG,1988-1989,1989,3,Denver Nuggets,163,1.0
111,29,"Dec 4, 1988",1979,6-9,Magic Johnson,PG,1988-1989,1989,9,Los Angeles Lakers,255,1.0
112,26,"Nov 27, 1988",1985,7-0,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,240,1.0
113,26,"Nov 20, 1988",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
114,26,"Nov 13, 1988",1984,7-0,Hakeem Olajuwon,C,1988-1989,1989,4,Houston Rockets,255,1.0
115,24,"Apr 22, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,250,1.0
116,30,"Apr 15, 1990",1979,6-9,Magic Johnson,PG,1989-1990,1990,10,Los Angeles Lakers,255,1.0
117,27,"Apr 8, 1990",1984,6-6,Charles Barkley,PF,1989-1990,1990,5,Philadelphia Sixers,252,1.0
118,27,"Apr 1, 1990",1984,6-6,Michael Jordan,SG,1989-1990,1990,5,Chicago Bulls,215,1.0
119,24,"Mar 25, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,250,1.0
120,23,"Mar 18, 1990",1987,6-1,Kevin Johnson,PG,1989-1990,1990,2,Phoenix Suns,180,1.0
