,Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
232,32,"Apr 9, 1995",1983,6-7,Clyde Drexler,SG,1994-1995,1995,11,Houston Rockets,210,1.0
233,29,"Apr 2, 1995",1987,7-1,David Robinson,C,1994-1995,1995,5,San Antonio Spurs,250,1.0
234,27,"Mar 26, 1995",1989,7-1,Vlade Divac,C,1994-1995,1995,5,Los Angeles Lakers,260,1.0
235,21,"Mar 19, 1995",1994,6-4,Jason Kidd,PG,1994-1995,1995,0,Dallas Mavericks,210,1.0
236,28,"Mar 12, 1995",1988,7-4,Rik Smits,C,1994-1995,1995,6,Indiana Pacers,250,1.0
237,22,"Mar 5, 1995",1992,7-1,Shaquille O'Neal,C,1994-1995,1995,2,Orlando Magic,325,1.0
238,28,"Feb 26, 1995",1988,6-3,Rod Strickland,PG,1994-1995,1995,6,Portland Trail Blazers,175,1.0
239,32,"Feb 19, 1995",1984,6-6,Charles Barkley,PF,1994-1995,1995,10,Phoenix Suns,252,1.0
240,32,"Feb 5, 1995",1984,7-0,Hakeem Olajuwon,C,1994-1995,1995,10,Houston Rockets,255,1.0
241,32,"Jan 29, 1995",1984,6-1,John Stockton,PG,1994-1995,1995,10,Utah Jazz,170,1.0
242,32,"Jan 22, 1995",1985,7-0,Patrick Ewing,C,1994-1995,1995,9,New York Knicks,240,1.0
243,25,"Jan 15, 1995",1991,6-6,Larry Johnson,F,1994-1995,1995,3,Charlotte Hornets,250,1.0
244,26,"Jan 8, 1995",1990,6-4,Gary Payton,G,1994-1995,1995,4,Seattle SuperSonics,180,1.0
245,32,"Jan 1, 1995",1984,7-0,Hakeem Olajuwon,C,1994-1995,1995,10,Houston Rockets,255,1.0
246,25,"Dec 25, 1994",1990,6-6,Cedric Ceballos,SF,1994-1995,1995,4,Los Angeles Lakers,190,1.0
247,31,"Dec 18, 1994",1985,6-9,Karl Malone,PF,1994-1995,1995,9,Utah Jazz,265,1.0
248,22,"Dec 11, 1994",1993,6-8,Jamal Mashburn,SF,1994-1995,1995,1,Dallas Mavericks,247,1.0
249,22,"Dec 4, 1994",1992,7-1,Shaquille O'Neal,C,1994-1995,1995,2,Orlando Magic,325,1.0
250,23,"Nov 27, 1994",1993,6-7,Penny Hardaway,PG,1994-1995,1995,1,Orlando Magic,195,1.0
251,25,"Nov 20, 1994",1991,6-0,Elliot Perry,PG,1994-1995,1995,3,Phoenix Suns,150,1.0
252,28,"Nov 13, 1994",1989,6-0,Tim Hardaway,PG,1994-1995,1995,5,Golden State Warriors,175,1.0
253,27,"Apr 21, 1996",1990,6-8,Dennis Scott,SF,1995-1996,1996,5,Orlando Magic,229,1.0
