Designation,NGS Site ID  ,Site Number,Latitude,Longitude,Ellipsoid Height,Antenna Type,Position Source,Location
Warsaw  ,NYWS,38,42.70086846,-78.126082,314.439,LEIAT504GG LEIS,LSA,"{'longitude': '-78.126082', 'needs_recoding': False, 'latitude': '42.70086846'}"
Waterloo  ,NYWL,6,42.89867423,-76.85202843,109.956,LEIAR10 NONE,NGS,"{'longitude': '-76.85202843', 'needs_recoding': False, 'latitude': '42.89867423'}"
Watertown ,NYWT,4,44.02823835,-75.9210968,118.251,LEIAR10 NONE,NGS,"{'longitude': '-75.9210968', 'needs_recoding': False, 'latitude': '44.02823835'}"
Watkins Glen  ,NYWG,43,42.35105444,-76.87591677,283.562,LEIAT504GG LEIS,NGS,"{'longitude': '-76.87591677', 'needs_recoding': False, 'latitude': '42.35105444'}"
Waverly  ,NYWV,44,42.01238893,-76.52157468,222.165,LEIAT504GG LEIS ,NGS,"{'longitude': '-76.52157468', 'needs_recoding': False, 'latitude': '42.01238893'}"
Darien,CTDA,50,41.06585269,-73.5072062,-13.266,TRM57971.00 NONE,NGS,"{'longitude': '-73.5072062', 'needs_recoding': False, 'latitude': '41.06585269'}"
Guilford,CTGU,37,41.28937286,-72.6679012,-18.107,TRM57971.00 NONE,NGS,"{'longitude': '-72.6679012', 'needs_recoding': False, 'latitude': '41.28937286'}"
Sheffield,MASH,15,42.14048721,-73.36418429,175.591,LEIAX1203+GNSS NONE,NGS,"{'longitude': '-73.36418429', 'needs_recoding': False, 'latitude': '42.14048721'}"
Morristown,NJMT,48,40.79648612,-74.48314988,101.119,LEIAR10 NONE,NGS,"{'longitude': '-74.48314988', 'needs_recoding': False, 'latitude': '40.79648612'}"
Piscataway,NJTP,41,40.54051154,-74.4678153,0.374,LEIAX1202GG NONE,NGS,"{'longitude': '-74.4678153', 'needs_recoding': False, 'latitude': '40.54051154'}"
